序号,URL,链接文字,是否重要,周报时间
46,https://mp.weixin.qq.com/s/j260Cjij44EWP0ec0oTt7w,阶跃星辰发布“AI桌面伙伴”，用自然语言操作命令行，实现系统级任务自动化,否,250927周
47,https://mp.weixin.qq.com/s/ZelTyNJwFKxlP0q-jvF9Kw,大厂高管成AI硬件创业主力，资本溢价押注“量产能力+具身智能”愿景,否,250927周
48,https://mp.weixin.qq.com/s/GiisE2reT7DSUp4yZlwMQg,秘塔AI，推出「Agentic Search」模式,否,250927周
49,https://metaso.cn/,体验地址,否,250927周
50,https://mp.weixin.qq.com/s/TgfMXyh70CDirnn5IBY6fA,智元「创投A计划」启动招募,否,250927周
51,https://mp.weixin.qq.com/s/-Ur8fYs_EIhad6uT6ek6DA,手机端侧大模型测评结果发布！（SuperCLUE-OnDevice）,否,250927周
52,https://mp.weixin.qq.com/s/LZcfYqHR2Zl6GnBtzLuMSg,Devin 联合创始人 Walden Yan：为什么不建议构建多智能体？,是,250927周
53,https://mp.weixin.qq.com/s/SCyon1FctJauDKMtvu3wXQ,Anthropic谈如何构建生产级多智能体系统,否,250927周
54,https://mp.weixin.qq.com/s/3t4PjpZcMVU1wCO0ThUs2A,Context Engineering：定义、作用、五大应用方法,否,250927周
55,https://mp.weixin.qq.com/s/YaEJDuEbldLyPFDML2DXSQ,Transformer作者、Character AI创始人：大模型的下一阶段，还是算力,否,250927周
56,https://mp.weixin.qq.com/s/-5lMX9oVHn6x0NI6QEZrrA,RL Infra行业全景,否,250927周
57,https://t.zsxq.com/4cSOq,周日换频道（291）_「成长搭子群」内部分享精选21（10个内容点）,是,250927周
